.structClassROMEntry 0,PromotionLevel,HP,Strength,Magic,Skill,Speed,Defense,Resistance,HPGrowth,StrengthGrowth,MagicGrowth,SkillGrowth,SpeedGrowth,DefenseGrowth,ResistanceGrowth,SwordRank,LanceRank,AxeRank,BowRank,StaffRank,FireRank,ThunderRank,WindRank,LightRank,DarkRank,Movement,MovementType,TerrainBonusType,Skills,Money
AxeSoldier,$14,$1E,$06,$00,$05,$05,$07,$00,$64,$1E,$0A,$1E,$1E,$1E,$0A,$03,$03,$02,$03,$03,$03,$03,$03,$03,$03,$06,$05,$00,$0000,$0A
BowSoldier,$14,$1E,$06,$00,$05,$05,$07,$00,$64,$1E,$0A,$1E,$1E,$1E,$0A,$03,$03,$03,$02,$03,$03,$03,$03,$03,$03,$06,$05,$00,$0000,$0A
SwordSoldier,$14,$1E,$06,$00,$05,$05,$07,$00,$64,$1E,$0A,$1E,$1E,$1E,$0A,$02,$03,$03,$03,$03,$03,$03,$03,$03,$03,$06,$05,$00,$0000,$0A
LanceArmor,$14,$28,$09,$00,$05,$03,$0A,$00,$64,$1E,$0A,$1E,$1E,$1E,$0A,$03,$01,$03,$03,$03,$03,$03,$03,$03,$03,$05,$04,$00,$0000,$14
AxeArmor,$14,$28,$09,$00,$05,$03,$0A,$00,$64,$1E,$0A,$1E,$1E,$1E,$0A,$03,$03,$01,$03,$03,$03,$03,$03,$03,$03,$05,$04,$00,$0000,$14
BowArmor,$14,$28,$09,$00,$05,$03,$0A,$00,$64,$1E,$0A,$1E,$1E,$1E,$0A,$03,$03,$03,$01,$03,$03,$03,$03,$03,$03,$05,$04,$00,$0000,$14
SwordArmor,$14,$28,$09,$00,$05,$03,$0A,$00,$64,$1E,$0A,$1E,$1E,$1E,$0A,$01,$03,$03,$03,$03,$03,$03,$03,$03,$03,$05,$04,$00,$0000,$14
Barbarian,$14,$23,$05,$00,$00,$07,$05,$00,$64,$1E,$00,$1E,$1E,$1E,$0A,$03,$03,$01,$03,$03,$03,$03,$03,$03,$03,$06,$07,$00,$0000,$0A
Fighter,$14,$23,$08,$00,$03,$0A,$08,$00,$64,$1E,$00,$1E,$1E,$1E,$0A,$03,$03,$00,$03,$03,$03,$03,$03,$03,$03,$06,$06,$00,$0000,$14
Brigand,$14,$23,$05,$00,$00,$07,$05,$00,$64,$1E,$00,$1E,$1E,$1E,$0A,$03,$03,$01,$03,$03,$03,$03,$03,$03,$03,$06,$0B,$00,$0000,$32
Warrior,$14,$28,$0B,$00,$05,$0C,$0A,$03,$64,$1E,$00,$1E,$1E,$1E,$0A,$03,$03,$00,$01,$03,$03,$03,$03,$03,$03,$06,$06,$00,$0000,$1E
Hunter,$14,$23,$07,$00,$00,$07,$05,$00,$64,$1E,$00,$1E,$1E,$1E,$0A,$03,$03,$03,$00,$03,$03,$03,$03,$03,$03,$06,$07,$00,$0000,$0A
Pirate,$14,$23,$05,$00,$00,$07,$05,$00,$64,$1E,$00,$1E,$1E,$1E,$0A,$03,$03,$01,$03,$03,$03,$03,$03,$03,$03,$06,$08,$00,$0000,$32
JuniorLord,$14,$1E,$05,$00,$05,$05,$05,$00,$64,$1E,$0A,$1E,$1E,$1E,$0A,$01,$03,$03,$03,$03,$03,$03,$03,$03,$03,$06,$09,$00,$0000,$3C
WarMage,$14,$1E,$05,$0C,$0A,$0A,$07,$07,$64,$14,$14,$1E,$1E,$1E,$14,$02,$03,$03,$03,$03,$01,$01,$01,$03,$03,$06,$09,$00,$0010,$1E
Prince,$14,$1E,$08,$03,$07,$06,$07,$03,$64,$1E,$0A,$1E,$1E,$1E,$0A,$00,$03,$03,$03,$03,$03,$03,$03,$03,$03,$06,$09,$00,$0000,$32
Princess,$14,$1A,$05,$07,$05,$08,$05,$07,$64,$14,$14,$1E,$1E,$1E,$14,$01,$03,$03,$03,$02,$03,$03,$03,$03,$03,$06,$09,$00,$0800,$32
WarMageF,$14,$1A,$03,$0C,$09,$0C,$05,$0A,$64,$14,$14,$1E,$1E,$1E,$14,$02,$03,$03,$03,$01,$01,$01,$01,$03,$03,$06,$09,$00,$0010,$1E
Queen,$14,$23,$05,$0F,$0A,$0C,$0A,$0F,$64,$14,$14,$1E,$1E,$1E,$14,$03,$03,$03,$03,$00,$00,$00,$00,$03,$03,$06,$09,$00,$0800,$3C
Dancer,$14,$1A,$03,$00,$01,$07,$01,$03,$64,$1E,$0A,$1E,$1E,$1E,$0A,$02,$03,$03,$03,$03,$03,$03,$03,$03,$03,$06,$09,$00,$0080,$0A
Priest,$14,$1A,$00,$07,$06,$06,$01,$07,$64,$0A,$1E,$1E,$1E,$0A,$1E,$03,$03,$03,$03,$01,$03,$03,$03,$03,$03,$05,$0A,$00,$0000,$0A
Mage,$14,$1A,$00,$07,$06,$06,$01,$05,$64,$0A,$1E,$1E,$1E,$0A,$1E,$03,$03,$03,$03,$03,$02,$02,$02,$03,$03,$05,$0A,$00,$0000,$0A
FireMage,$14,$1A,$00,$0A,$06,$06,$01,$05,$64,$0A,$1E,$1E,$1E,$0A,$1E,$03,$03,$03,$03,$03,$01,$03,$03,$03,$03,$05,$0A,$00,$0000,$0A
ThunderMage,$14,$1A,$00,$07,$09,$06,$01,$05,$64,$0A,$1E,$1E,$1E,$0A,$1E,$03,$03,$03,$03,$03,$03,$01,$03,$03,$03,$05,$0A,$00,$0000,$0A
WindMage,$14,$1A,$00,$07,$06,$09,$01,$05,$64,$0A,$1E,$1E,$1E,$0A,$1E,$03,$03,$03,$03,$03,$03,$03,$01,$03,$03,$05,$0A,$00,$0000,$0A
HighPriest,$14,$23,$00,$0C,$09,$08,$03,$08,$64,$0A,$1E,$1E,$1E,$0A,$1E,$03,$03,$03,$03,$00,$02,$02,$02,$03,$03,$05,$0A,$00,$0000,$1E
Bishop,$14,$23,$00,$0A,$08,$05,$03,$08,$64,$0A,$1E,$1E,$1E,$0A,$1E,$03,$03,$03,$03,$00,$01,$01,$01,$03,$03,$05,$0A,$00,$0000,$1E
Sage,$14,$23,$00,$0F,$0C,$0F,$03,$0C,$64,$0A,$1E,$1E,$1E,$0A,$1E,$03,$03,$03,$03,$01,$01,$01,$01,$01,$03,$06,$0A,$00,$0010,$32
Bard,$14,$1E,$00,$07,$07,$0A,$03,$07,$64,$0A,$1E,$1E,$1E,$0A,$1E,$03,$03,$03,$03,$03,$02,$02,$02,$02,$03,$06,$0A,$00,$0000,$14
Priestess,$14,$1E,$00,$08,$07,$07,$03,$0A,$64,$0A,$1E,$1E,$1E,$0A,$1E,$03,$03,$03,$03,$01,$03,$03,$03,$00,$03,$05,$0A,$00,$0000,$14
DarkMage,$14,$28,$00,$0A,$08,$08,$07,$0A,$64,$0A,$1E,$1E,$1E,$0A,$1E,$03,$03,$03,$03,$01,$03,$03,$03,$03,$01,$05,$0A,$00,$0000,$1E
DarkBishop,$14,$28,$00,$0F,$0A,$0A,$0A,$0C,$64,$0A,$1E,$1E,$1E,$0A,$1E,$03,$03,$03,$03,$00,$00,$00,$00,$03,$00,$05,$0A,$00,$0008,$32
Thief,$14,$1A,$03,$00,$03,$07,$01,$00,$64,$1E,$0A,$1E,$1E,$1E,$0A,$02,$03,$03,$03,$03,$03,$03,$03,$03,$03,$06,$0B,$00,$0020,$32
Rogue,$14,$1E,$07,$03,$07,$0C,$05,$03,$64,$1E,$0A,$1E,$1E,$1E,$0A,$00,$03,$03,$03,$03,$03,$03,$03,$03,$03,$07,$0B,$00,$0028,$3C
Civilian,$14,$14,$00,$00,$00,$0A,$02,$00,$64,$00,$00,$1E,$1E,$00,$00,$03,$03,$03,$03,$03,$03,$03,$03,$03,$03,$05,$0C,$00,$0000,$00
Child,$14,$14,$00,$00,$00,$00,$00,$00,$64,$00,$00,$1E,$1E,$00,$00,$03,$03,$03,$03,$03,$03,$03,$03,$03,$03,$05,$0C,$00,$0000,$00
Ballista,$14,$1E,$00,$00,$00,$00,$00,$00,$64,$1E,$0A,$1E,$1E,$1E,$00,$03,$03,$03,$00,$03,$03,$03,$03,$03,$03,$00,$0D,$00,$0000,$0A
IronBallista,$14,$1E,$00,$00,$00,$00,$0A,$00,$64,$1E,$0A,$1E,$1E,$1E,$00,$03,$03,$03,$00,$03,$03,$03,$03,$03,$03,$00,$0D,$00,$0000,$0A
KillerBallista,$14,$1E,$00,$00,$00,$00,$00,$00,$64,$1E,$0A,$1E,$1E,$1E,$00,$03,$03,$03,$00,$03,$03,$03,$03,$03,$03,$00,$0D,$00,$0000,$0A
GreatBallista,$14,$1E,$00,$00,$00,$00,$00,$00,$64,$1E,$0A,$1E,$1E,$1E,$00,$03,$03,$03,$00,$03,$03,$03,$03,$03,$03,$00,$0D,$00,$0000,$0A
DarkPrince,$14,$1E,$00,$0F,$0C,$0C,$0A,$0F,$00,$00,$00,$00,$00,$00,$00,$03,$03,$03,$03,$03,$00,$00,$00,$03,$00,$05,$0E,$00,$0000,$00
