.structItemNameOffset 0,Offset
KillerBallistaName,aItemNames.KillerBallista
GreatBallistaName,aItemNames.GreatBallista
FireName,aItemNames.Fire
ElfireName,aItemNames.Elfire
BolganoneName,aItemNames.Bolganone
ValflameName,aItemNames.Valflame
MeteorName,aItemNames.Meteor
ThunderName,aItemNames.Thunder
ElthunderName,aItemNames.Elthunder
ThoronName,aItemNames.Thoron
MjolnirName,aItemNames.Mjolnir
BoltingName,aItemNames.Bolting
WindName,aItemNames.Wind
ElwindName,aItemNames.Elwind
TornadoName,aItemNames.Tornado
ForsetiName,aItemNames.Forseti
BlizzardName,aItemNames.Blizzard
LightName,aItemNames.Light
NosferatuName,aItemNames.Nosferatu
AuraName,aItemNames.Aura
NagaName,aItemNames.Naga
JormungandrName,aItemNames.Jormungandr
FenrirName,aItemNames.Fenrir
HelName,aItemNames.Hel
LoptousName,aItemNames.Loptous
BrokenFireTomeAName,aItemNames.BrokenTome
BrokenFireTomeBName,aItemNames.BrokenTome
BrokenFireTomeCName,aItemNames.BrokenTome
HealStaffName,aItemNames.HealStaff
MendStaffName,aItemNames.MendStaff
RecoverStaffName,aItemNames.RecoverStaff
PhysicStaffName,aItemNames.PhysicStaff
FortifyName,aItemNames.Fortify
ReturnStaffName,aItemNames.ReturnStaff
WarpStaffName,aItemNames.WarpStaff
RescueStaffName,aItemNames.RescueStaff
CharmStaffName,aItemNames.CharmStaff
RestoreStaffName,aItemNames.RestoreStaff
ValkyrieStaffName,aItemNames.ValkyrieStaff
SilenceStaffName,aItemNames.SilenceStaff
SleepStaffName,aItemNames.SleepStaff
BerserkStaffName,aItemNames.BerserkStaff
ThiefStaffName,aItemNames.ThiefStaff
BrokenStaffAName,aItemNames.BrokenStaff
BrokenStaffBName,aItemNames.BrokenStaff
BrokenStaffCName,aItemNames.BrokenStaff
RenewalBandName,aItemNames.RenewalBand
ParagonBandName,aItemNames.ParagonBand
ThiefBandName,aItemNames.ThiefBand
MiracleBandName,aItemNames.MiracleBand
PursuitRingName,aItemNames.PursuitRing
RecoverRingName,aItemNames.RecoverRing
BargainBandName,aItemNames.BargainBand
KnightRingName,aItemNames.KnightRing
ReturnBandName,aItemNames.ReturnBand
SpeedRingName,aItemNames.SpeedRing
MagicRingName,aItemNames.MagicRing
PowerRingName,aItemNames.PowerRing
ShieldRingName,aItemNames.ShieldRing
BarrierRingName,aItemNames.BarrierRing
LegRingName,aItemNames.LegRing
SkillRingName,aItemNames.SkillRing
BrokenHolySwordName,aItemNames.BrokenSword
BrokenHolyLanceName,aItemNames.BrokenLance
BrokenHolyBowName,aItemNames.BrokenBow
BrokenThunderTomeAName,aItemNames.BrokenTome
BrokenThunderTomeBName,aItemNames.BrokenTome
BrokenThunderTomeCName,aItemNames.BrokenTome
BrokenHolyWindTomeName,aItemNames.BrokenTome
BrokenWindTomeAName,aItemNames.BrokenTome
BrokenWindTomeBName,aItemNames.BrokenTome
BrokenWindTomeCName,aItemNames.BrokenTome
BrokenHolyLightTomeName,aItemNames.BrokenTome
BrokenLightTomeAName,aItemNames.BrokenTome
BrokenLightTomeBName,aItemNames.BrokenTome
BrokenLightTomeCName,aItemNames.BrokenTome
BrokenHolyStaffName,aItemNames.BrokenStaff
CircletName,aItemNames.Circlet
