.long 0,Pointer
PortraitGraphic6E,$CE1177
PortraitGraphic6F,$CE2BAA
PortraitGraphic70,$CE306B
PortraitGraphic71,$CE306B
PortraitGraphic72,$CE3509
PortraitGraphic73,$CB712F
PortraitGraphic74,$CB712F
PortraitGraphic75,$CE5E65
PortraitGraphic76,$CD6E47
PortraitGraphic77,$CD72F3
PortraitGraphic78,$CE63D5
PortraitGraphic79,$CE01B7
PortraitGraphic7A,$CD5F42
PortraitGraphic7B,$CE6938
PortraitGraphic7C,$CD6E47
PortraitGraphic7D,$CD648C
PortraitGraphic7E,$CD72F3
PortraitGraphic7F,$CE6ED3
PortraitGraphic80,$CE6ED3
PortraitGraphic81,$CE6ED3
PortraitGraphic82,$CD5A16
PortraitGraphic83,$CE73DA
PortraitGraphic84,$CE2BAA
PortraitGraphic85,$CE306B
PortraitGraphic86,$CE78FA
PortraitGraphic87,$CE7EBB
PortraitGraphic88,$CD6E47
PortraitGraphic89,$CF0439
PortraitGraphic8A,$CF0A24
PortraitGraphic8B,$CE1B66
PortraitGraphic8C,$CF0F90
PortraitGraphic8D,$CE0C32
PortraitGraphic8E,$CE592E
PortraitGraphic8F,$CD6E47
PortraitGraphic90,$CD5A16
PortraitGraphic91,$CD5A16
PortraitGraphic92,$CD72F3
PortraitGraphic93,$CE4F2B
PortraitGraphic94,$CD5A16
PortraitGraphic95,$CF15CE
PortraitGraphic96,$CF1A65
PortraitGraphic97,$CF1F6D
PortraitGraphic98,$CF254A
PortraitGraphic99,$CF29B3
PortraitGraphic9A,$CF2EA2
PortraitGraphic9B,$CF3407
PortraitGraphic9C,$CB712F
PortraitGraphic9D,$CD7D6C
PortraitGraphic9E,$CF391B
PortraitGraphic9F,$CF3E9C
PortraitGraphicA0,$CF254A
PortraitGraphicA1,$CF254A
PortraitGraphicA2,$CF15CE
PortraitGraphicA3,$CF438C
PortraitGraphicA4,$CF47C5
PortraitGraphicA5,$CE1B66
PortraitGraphicA6,$CD780E
PortraitGraphicA7,$CE0724
PortraitGraphicA8,$CD72F3
PortraitGraphicA9,$CF47C9
PortraitGraphicAA,$CF4CA9
PortraitGraphicAB,$CF50BB
PortraitGraphicAC,$CF5649
PortraitGraphicAD,$CF5B06
PortraitGraphicAE,$CF5FA5
PortraitGraphicAF,$CF6088
PortraitGraphicB0,$CF64FE
PortraitGraphicB1,$CF65E4
PortraitGraphicB2,$CF6B06
PortraitGraphicB3,$CF709D
PortraitGraphicB4,$CF75AF
PortraitGraphicB5,$CF7AA1
PortraitGraphicB6,$CF7F17
PortraitGraphicB7,$D002F5
PortraitGraphicB8,$D00733
PortraitGraphicB9,$D00C05
PortraitGraphicBA,$D00C05
PortraitGraphicBB,$D0102D
PortraitGraphicBC,$D01484
PortraitGraphicBD,$D01895
PortraitGraphicBE,$D00C05
PortraitGraphicBF,$D00C05
PortraitGraphicC0,$D0102D
PortraitGraphicC1,$D01895
PortraitGraphicC2,$D00C05
PortraitGraphicC3,$D01CF7
PortraitGraphicC4,$D01CF7
PortraitGraphicC5,$D0214F
PortraitGraphicC6,$D0214F
PortraitGraphicC7,$D02595
PortraitGraphicC8,$D02955
PortraitGraphicC9,$D02595
PortraitGraphicCA,$D02955
PortraitGraphicCB,$D02D4E
PortraitGraphicCC,$D02D4E
PortraitGraphicCD,$D03215
PortraitGraphicCE,$D03215
PortraitGraphicCF,$D03609
PortraitGraphicD0,$D02595
PortraitGraphicD1,$D02955
PortraitGraphicD2,$D039C7
PortraitGraphicD3,$D039C7
PortraitGraphicD4,$D039C7
PortraitGraphicD5,$D039C7
PortraitGraphicD6,$D03E0C
PortraitGraphicD7,$D03609
PortraitGraphicD8,$D03E0C
PortraitGraphicD9,$D03609
PortraitGraphicDA,$D02595
PortraitGraphicDB,$D03E0C
PortraitGraphicDC,$D041D9
PortraitGraphicDD,$D041D9
PortraitGraphicDE,$D045AA
PortraitGraphicDF,$D04A66
PortraitGraphicE0,$D04A66
PortraitGraphicE1,$D04A66
PortraitGraphicE2,$D04A66
PortraitGraphicE3,$D04A66
PortraitGraphicE4,$D045AA
PortraitGraphicE5,$D04A66
PortraitGraphicE6,$D045AA
PortraitGraphicE7,$D04E8B
PortraitGraphicE8,$D04E8B
PortraitGraphicE9,$D04E8B
PortraitGraphicEA,$D04E8B
PortraitGraphicEB,$D052B5
PortraitGraphicEC,$D052B5
PortraitGraphicED,$D052B5
PortraitGraphicEE,$D052B5
PortraitGraphicEF,$D04A66
PortraitGraphicF0,$D041D9
PortraitGraphicF1,$D02955
PortraitGraphicF2,$D02955
PortraitGraphicF3,$CB712F
PortraitGraphicF4,$CB712F
PortraitGraphicF5,$CD3F8B
PortraitGraphicF6,$CA65B5
PortraitGraphicF7,$CB349E
