.word 0,Offset
MarphaCommanderChargeFighterName,aCharacterNames.CommanderCh01 - aCharacterNameOffsets
MarphaChargeBarbarianName,aCharacterNames.VerdaneArmy - aCharacterNameOffsets
MarphaHunterName,aCharacterNames.VerdaneArmy - aCharacterNameOffsets
MarphaGuardBarbarianName,aCharacterNames.VerdaneArmy - aCharacterNameOffsets
SandimaName,aCharacterNames.Sandima - aCharacterNameOffsets
VerdaneHunterName,aCharacterNames.VerdaneArmy - aCharacterNameOffsets
VerdaneFighterName,aCharacterNames.VerdaneArmy - aCharacterNameOffsets
VerdaneUnusedCommanderFighterName,aCharacterNames.CommanderCh01 - aCharacterNameOffsets
VerdaneBarbarianName,aCharacterNames.VerdaneArmy - aCharacterNameOffsets
BanditCh01Ch02Name,aCharacterNames.BanditCh01Ch02 - aCharacterNameOffsets
ElliotCh01Name,aCharacterNames.ElliotCh01 - aCharacterNameOffsets
ElliotSquadCh01LanceKnightName,aCharacterNames.ElliotSquadCh01LanceKnight - aCharacterNameOffsets
EldiganCh01Name,aCharacterNames.EldiganCh01 - aCharacterNameOffsets
CrossKnightCh01CavalierName,aCharacterNames.CrossKnightCh01Cavalier - aCharacterNameOffsets
GenoaCommanderGuardWarriorName,aCharacterNames.CommanderCh01 - aCharacterNameOffsets
BordeauxName,aCharacterNames.Bordeaux - aCharacterNameOffsets
HeirheinGuardLanceArmorName,aCharacterNames.HeirheinCh02 - aCharacterNameOffsets
PhilipName,aCharacterNames.Philip - aCharacterNameOffsets
PhilipSquadPriestName,aCharacterNames.HeirheinCh02 - aCharacterNameOffsets
PhilipSquadBallisticianName,aCharacterNames.HeirheinCh02 - aCharacterNameOffsets
PhilipSquadUnusedFireMageName,aCharacterNames.HeirheinCh02 - aCharacterNameOffsets
PhilipSquadAxeArmorName,aCharacterNames.HeirheinCh02 - aCharacterNameOffsets
PhilipSquadLanceArmorName,aCharacterNames.HeirheinCh02 - aCharacterNameOffsets
PhilipSquadSwordArmorName,aCharacterNames.HeirheinCh02 - aCharacterNameOffsets
ElliotCh02Name,aCharacterNames.ElliotCh02 - aCharacterNameOffsets
ElliotSquadCh02BowKnightName,aCharacterNames.HeirheinCh02 - aCharacterNameOffsets
ElliotSquadCh02AxeKnightName,aCharacterNames.HeirheinCh02 - aCharacterNameOffsets
ElliotSquadCh02LanceKnightName,aCharacterNames.HeirheinCh02 - aCharacterNameOffsets
InfiniCommanderDukeKnightName,aCharacterNames.CommanderCh02 - aCharacterNameOffsets
InfiniLanceKnightName,aCharacterNames.InfiniArmy - aCharacterNameOffsets
UnusedBanditName,aCharacterNames.UnusedBandit - aCharacterNameOffsets
MackilyLanceArmorName,aCharacterNames.MackilyArmy - aCharacterNameOffsets
EveName,aCharacterNames.Eve - aCharacterNameOffsets
MacBethName,aCharacterNames.MacBeth - aCharacterNameOffsets
InfiniBowArmorName,aCharacterNames.InfiniArmy - aCharacterNameOffsets
InfiniAxeArmorName,aCharacterNames.InfiniArmy - aCharacterNameOffsets
InfiniSwordArmorName,aCharacterNames.InfiniArmy - aCharacterNameOffsets
WaltzName,aCharacterNames.Waltz - aCharacterNameOffsets
WaltzSquadFreeKnightName,aCharacterNames.WaltzSquadFreeKnight - aCharacterNameOffsets
ClementName,aCharacterNames.Clement - aCharacterNameOffsets
MackilyFireMageName,aCharacterNames.MackilyArmy - aCharacterNameOffsets
MackilyMyrmidonName,aCharacterNames.MackilyArmy - aCharacterNameOffsets
MackilyArcherName,aCharacterNames.MackilyArmy - aCharacterNameOffsets
MackilyCommanderBallisticianName,aCharacterNames.CommanderCh02 - aCharacterNameOffsets
MackilyBallisticianName,aCharacterNames.MackilyArmy - aCharacterNameOffsets
ChagallCh02Name,aCharacterNames.ChagallCh02 - aCharacterNameOffsets
AgustiBallisticianName,aCharacterNames.AgustiArmy - aCharacterNameOffsets
AgustiLanceArmorName,aCharacterNames.AgustiArmy - aCharacterNameOffsets
AgustiCommanderPaladinName,aCharacterNames.CommanderCh02 - aCharacterNameOffsets
AgustiCavalierName,aCharacterNames.AgustiArmy - aCharacterNameOffsets
AgustiCommanderDukeKnightName,aCharacterNames.CommanderCh02 - aCharacterNameOffsets
AgustiLanceKnightName,aCharacterNames.AgustiLanceKnight - aCharacterNameOffsets
ErinysSquadPegasusKnightName,aCharacterNames.ErinysSquadPegasusKnight - aCharacterNameOffsets
ZaneName,aCharacterNames.Zane - aCharacterNameOffsets
ZaneSquadTroubadourName,aCharacterNames.AgustiArmy - aCharacterNameOffsets
ZaneSquadLanceKnightName,aCharacterNames.AgustiArmy - aCharacterNameOffsets
ZaneSquadAxeKnightName,aCharacterNames.AgustiArmy - aCharacterNameOffsets
ZaneSquadBowKnightName,aCharacterNames.AgustiArmy - aCharacterNameOffsets
EvaName,aCharacterNames.Eva - aCharacterNameOffsets
AlvaName,aCharacterNames.Alva - aCharacterNameOffsets
JacobiName,aCharacterNames.Jacobi - aCharacterNameOffsets
MadinoGuardBishopName,aCharacterNames.MadinoArmy - aCharacterNameOffsets
MadinoGuardMageName,aCharacterNames.MadinoArmy - aCharacterNameOffsets
MadinoSwordArmorName,aCharacterNames.MadinoArmy - aCharacterNameOffsets
MadinoBowArmorName,aCharacterNames.MadinoArmy - aCharacterNameOffsets
MadinoLanceArmorName,aCharacterNames.MadinoArmy - aCharacterNameOffsets
MadinoCommanderGeneralCenterName,aCharacterNames.MadinoCommander - aCharacterNameOffsets
MadinoAxeArmorCenterName,aCharacterNames.MadinoArmy - aCharacterNameOffsets
MadinoCommanderArchKnightName,aCharacterNames.MadinoCommander - aCharacterNameOffsets
MadinoBowKnightName,aCharacterNames.MadinoArmy - aCharacterNameOffsets
MadinoCommanderGeneralRightName,aCharacterNames.MadinoCommander - aCharacterNameOffsets
MadinoLanceArmorRightName,aCharacterNames.MadinoArmy - aCharacterNameOffsets
MadinoCommanderDukeKnightName,aCharacterNames.MadinoCommander - aCharacterNameOffsets
MadinoLanceKnightName,aCharacterNames.MadinoArmy - aCharacterNameOffsets
MadinoCommanderFireMageWoodsName,aCharacterNames.MadinoCommander - aCharacterNameOffsets
MadinoMageWoodsName,aCharacterNames.MadinoArmy - aCharacterNameOffsets
MadinoCommanderIronBallisticianName,aCharacterNames.MadinoCommander - aCharacterNameOffsets
MadinoBallisticianName,aCharacterNames.MadinoArmy - aCharacterNameOffsets
PirateCh03Name,aCharacterNames.PirateCh03 - aCharacterNameOffsets
SylvaleBlockadeCommanderLanceArmorName,aCharacterNames.SylvaleCommander - aCharacterNameOffsets
SylvaleBlockadeLanceArmorName,aCharacterNames.SylvaleArmy - aCharacterNameOffsets
EldiganCh03Name,aCharacterNames.EldiganCh03 - aCharacterNameOffsets
CrossKnightCh03CavalierName,aCharacterNames.CrossKnightCh03Cavalier - aCharacterNameOffsets
ChagallCh03Name,aCharacterNames.ChagallCh03 - aCharacterNameOffsets
SylvaleLanceArmorName,aCharacterNames.SylvaleArmy - aCharacterNameOffsets
SylvaleBowArmorName,aCharacterNames.SylvaleArmy - aCharacterNameOffsets
PapilioName,aCharacterNames.Papilio - aCharacterNameOffsets
PapilioSquadDragonriderName,aCharacterNames.PapilioSquadDragonrider - aCharacterNameOffsets
OrgahilHunterName,aCharacterNames.OrgahilPirate - aCharacterNameOffsets
OrgahilPirateHandAxeName,aCharacterNames.OrgahilPirate - aCharacterNameOffsets
OrgahilPirateSteelAxeName,aCharacterNames.OrgahilPirate - aCharacterNameOffsets
OrgahilMyrmidonName,aCharacterNames.OrgahilPirate - aCharacterNameOffsets
DuvallName,aCharacterNames.Duvall - aCharacterNameOffsets
OrgahilGuardPirateName,aCharacterNames.OrgahilPirate - aCharacterNameOffsets
PizareName,aCharacterNames.Pizare - aCharacterNameOffsets
PizareSquadPirateIronAxeName,aCharacterNames.OrgahilPirate - aCharacterNameOffsets
PizareSquadPirateHandAxeName,aCharacterNames.OrgahilPirate - aCharacterNameOffsets
OrgahilPirateBragiTowerName,aCharacterNames.OrgahilPirate - aCharacterNameOffsets
OrgahilPiratePillagerName,aCharacterNames.OrgahilPirate - aCharacterNameOffsets
UnusedArvisName,aCharacterNames.UnusedArvis - aCharacterNameOffsets
LombardCh03Name,aCharacterNames.LombardCh03 - aCharacterNameOffsets
GrauenritterCh03GreatKnightName,aCharacterNames.GrauenritterCh03GreatKnight - aCharacterNameOffsets
ReptorCh03Name,aCharacterNames.ReptorCh03 - aCharacterNameOffsets
GelbenritterCh03MageKnightName,aCharacterNames.GelbenritterCh03MageKnight - aCharacterNameOffsets
UnusedAnnandName,aCharacterNames.UnusedAnnand - aCharacterNameOffsets
SilesseUnusedPegasusKnightName,aCharacterNames.SilesseUnusedPegasusKnight - aCharacterNameOffsets
MyosName,aCharacterNames.Myos - aCharacterNameOffsets
TofaLanceArmorName,aCharacterNames.TofaArmy - aCharacterNameOffsets
TofaGuardWindMageName,aCharacterNames.TofaArmy - aCharacterNameOffsets
TofaCommanderWindMageName,aCharacterNames.TofaCommander - aCharacterNameOffsets
TofaMyrmidonName,aCharacterNames.TofaArmy - aCharacterNameOffsets
CuvuliName,aCharacterNames.Cuvuli - aCharacterNameOffsets
CuvuliSquadWindMageName,aCharacterNames.TofaArmy - aCharacterNameOffsets
TofaCommanderWarMageName,aCharacterNames.TofaCommander - aCharacterNameOffsets
TofaWindMageRightName,aCharacterNames.TofaArmy - aCharacterNameOffsets
TofaWindMageMountainName,aCharacterNames.TofaArmy - aCharacterNameOffsets
DithorbaName,aCharacterNames.Dithorba - aCharacterNameOffsets
DithorbaSquadPegasusKnightName,aCharacterNames.DithorbaSquadPegasusKnight - aCharacterNameOffsets
PirateCh04Name,aCharacterNames.PirateCh04 - aCharacterNameOffsets
SilesseBlockadeWindMageName,aCharacterNames.SilesseBlockadeWindMage - aCharacterNameOffsets
DaccarName,aCharacterNames.Daccar - aCharacterNameOffsets
AnnandName,aCharacterNames.Annand - aCharacterNameOffsets
AnnandSquadPegasusKnightName,aCharacterNames.AnnandSquadPegasusKnight - aCharacterNameOffsets
PamelaName,aCharacterNames.Pamela - aCharacterNameOffsets
PamelaSquadPegasusKnightName,aCharacterNames.PamelaSquadPegasusKnight - aCharacterNameOffsets
AndreyCh04Name,aCharacterNames.AndreyCh04 - aCharacterNameOffsets
AndreySquadCh04BowKnightName,aCharacterNames.AndreySquadCh04BowKnight - aCharacterNameOffsets
SilesseCivilianMaleName,aCharacterNames.SilesseCivilian - aCharacterNameOffsets
SilesseCivilianFemaleName,aCharacterNames.SilesseCivilian - aCharacterNameOffsets
DonovanName,aCharacterNames.Donovan - aCharacterNameOffsets
SilesseFighterName,aCharacterNames.ZaxonSilesseOccupier - aCharacterNameOffsets
SilesseGuardWindMageName,aCharacterNames.ZaxonSilesseOccupier - aCharacterNameOffsets
SilesseWarriorName,aCharacterNames.ZaxonSilesseOccupier - aCharacterNameOffsets
SilesseWindMageRiverName,aCharacterNames.ZaxonSilesseOccupier - aCharacterNameOffsets
ZaxonGuardGeneralName,aCharacterNames.ZaxonArmy - aCharacterNameOffsets
LamiaName,aCharacterNames.Lamia - aCharacterNameOffsets
LamiaSquadMyrmidonSleepSwordName,aCharacterNames.LamiaSquadMyrmidonSleepSword - aCharacterNameOffsets
LamiaSquadMyrmidonBraveSwordName,aCharacterNames.LamiaSquadMyrmidonBraveSword - aCharacterNameOffsets
LamiaSquadArcherName,aCharacterNames.LamiaSquadArcher - aCharacterNameOffsets
LamiaSquadPriestName,aCharacterNames.LamiaSquadPriest - aCharacterNameOffsets
LamiaSquadThunderMageName,aCharacterNames.LamiaSquadThunderMage - aCharacterNameOffsets
LombardCh05Name,aCharacterNames.LombardCh05 - aCharacterNameOffsets
ChildOifeyName,aCharacterNames.ChildOifey - aCharacterNameOffsets
LubeckGuardGeneralName,aCharacterNames.LubeckArmy - aCharacterNameOffsets
SlayderName,aCharacterNames.Slayder - aCharacterNameOffsets
SlayderSquadAxeKnightName,aCharacterNames.LubeckArmy - aCharacterNameOffsets
LubeckCommanderGeneralRightName,aCharacterNames.LubeckCommanderRight - aCharacterNameOffsets
LubeckThunderMageRightName,aCharacterNames.LubeckArmy - aCharacterNameOffsets
LubeckAxeArmorRightName,aCharacterNames.LubeckArmy - aCharacterNameOffsets
BrigandCh05Name,aCharacterNames.BrigandCh05 - aCharacterNameOffsets
LubeckCommanderGeneralLeftName,aCharacterNames.LubeckCommanderLeft - aCharacterNameOffsets
LubeckThunderMageLeftName,aCharacterNames.LubeckArmy - aCharacterNameOffsets
LubeckAxeArmorLeftName,aCharacterNames.LubeckArmy - aCharacterNameOffsets
LubeckIronBallisticianName,aCharacterNames.LubeckArmy - aCharacterNameOffsets
ByronName,aCharacterNames.Byron - aCharacterNameOffsets
AndreyCh05Name,aCharacterNames.AndreyCh05 - aCharacterNameOffsets
AndreySquadCh05BowKnightName,aCharacterNames.AndreySquadCh05BowKnight - aCharacterNameOffsets
VajaName,aCharacterNames.Vaja - aCharacterNameOffsets
PhinoraGuardFireMageName,aCharacterNames.VelthomerArmy - aCharacterNameOffsets
PhinoraGuardPriestName,aCharacterNames.PhinoraGuardPriest - aCharacterNameOffsets
VelthomerCh05FireMageDesertName,aCharacterNames.VelthomerArmy - aCharacterNameOffsets
TravantCh05Name,aCharacterNames.TravantCh05 - aCharacterNameOffsets
MagornName,aCharacterNames.Magorn - aCharacterNameOffsets
MagornSquadDragonknightName,aCharacterNames.MagornSquadDragonknight - aCharacterNameOffsets
LeonsterCh05LanceKnightName,aCharacterNames.LeonsterCh05LanceKnight - aCharacterNameOffsets
AidaName,aCharacterNames.Aida - aCharacterNameOffsets
VelthomerCh05FireMageCliffName,aCharacterNames.VelthomerArmy - aCharacterNameOffsets
ReptorCh05Name,aCharacterNames.ReptorCh05 - aCharacterNameOffsets
FriegeCh05GeneralName,aCharacterNames.FriegeArmy - aCharacterNameOffsets
FriegeCh05HighPriestName,aCharacterNames.FriegeArmy - aCharacterNameOffsets
FriegeCh05BowArmorName,aCharacterNames.FriegeArmy - aCharacterNameOffsets
FriegeCh05HeroName,aCharacterNames.FriegeArmy - aCharacterNameOffsets
FriegeCh05ThunderMageMaleName,aCharacterNames.FriegeArmy - aCharacterNameOffsets
FriegeCh05ThunderMageFemaleName,aCharacterNames.FriegeArmy - aCharacterNameOffsets
FriegeCh05LanceArmorName,aCharacterNames.FriegeArmy - aCharacterNameOffsets
FriegeCh05SniperName,aCharacterNames.FriegeArmy - aCharacterNameOffsets
RotenritterCh05CommanderFireMageName,aCharacterNames.RotenritterCh05Commander - aCharacterNameOffsets
RotenritterCh05FireMageName,aCharacterNames.RotenritterCh05 - aCharacterNameOffsets
RotenritterCh05CommanderGeneralName,aCharacterNames.RotenritterCh05Commander - aCharacterNameOffsets
RotenritterCh05GeneralName,aCharacterNames.RotenritterCh05 - aCharacterNameOffsets
RotenritterCh05CommanderMageKnightName,aCharacterNames.RotenritterCh05Commander - aCharacterNameOffsets
RotenritterCh05MageKnightName,aCharacterNames.RotenritterCh05 - aCharacterNameOffsets
ArvisChPrologueName,aCharacterNames.ArvisChPrologue - aCharacterNameOffsets
RotenritterUnusedCommanderFireMageName,aCharacterNames.RotenritterCh05Commander - aCharacterNameOffsets
RotenritterUnusedFireMageName,aCharacterNames.RotenritterCh05 - aCharacterNameOffsets
HaroldName,aCharacterNames.Harold - aCharacterNameOffsets
GaneishireGuardAxeArmorName,aCharacterNames.GaneishireArmy - aCharacterNameOffsets
GaneishireFighterName,aCharacterNames.GaneishireArmy - aCharacterNameOffsets
BrigandCh06Name,aCharacterNames.BrigandCh06 - aCharacterNameOffsets
SofalaGuardFighterName,aCharacterNames.SofalaArmy - aCharacterNameOffsets
IsaachGuardAxeKnightName,aCharacterNames.IsaachArmy - aCharacterNameOffsets
IsaachAxeKnightName,aCharacterNames.IsaachArmy - aCharacterNameOffsets
SofalaFighterName,aCharacterNames.SofalaArmy - aCharacterNameOffsets
SchmidtName,aCharacterNames.Schmidt - aCharacterNameOffsets
SchmidtSquadName,aCharacterNames.SchmidtSquad - aCharacterNameOffsets
DanannName,aCharacterNames.Danann - aCharacterNameOffsets
GaneishireAxeArmorName,aCharacterNames.GaneishireArmy - aCharacterNameOffsets
GaneishireBowArmorName,aCharacterNames.GaneishireArmy - aCharacterNameOffsets
KutuzovName,aCharacterNames.Kutuzov - aCharacterNameOffsets
AedDarkMageLv7Name,aCharacterNames.AedMage - aCharacterNameOffsets
AedDarkMageLv4Name,aCharacterNames.AedMage - aCharacterNameOffsets
AedMyrmidonName,aCharacterNames.MercenaryCh07 - aCharacterNameOffsets
AedDarkMageLv1Name,aCharacterNames.AedMage - aCharacterNameOffsets
UlsterCommanderGeneralLeonsterChargeName,aCharacterNames.UlsterCommander - aCharacterNameOffsets
UlsterSwordArmorLeonsterChargeName,aCharacterNames.UlsterArmy - aCharacterNameOffsets
UlsterThunderMageLeonsterChargeName,aCharacterNames.UlsterArmy - aCharacterNameOffsets
BrigandCh07Name,aCharacterNames.BrigandCh07 - aCharacterNameOffsets
BloomCh07Name,aCharacterNames.BloomCh07 - aCharacterNameOffsets
UlsterGuardGeneralName,aCharacterNames.UlsterArmy - aCharacterNameOffsets
DahnaBlockadeMyrmidonName,aCharacterNames.DahnaArmy - aCharacterNameOffsets
IshtoreName,aCharacterNames.Ishtore - aCharacterNameOffsets
MelgenGuardThunderMageName,aCharacterNames.MelgenArmy - aCharacterNameOffsets
LizaName,aCharacterNames.Liza - aCharacterNameOffsets
MelgenThunderMageElthunderName,aCharacterNames.MelgenArmy - aCharacterNameOffsets
MelgenLanceArmorName,aCharacterNames.MelgenArmy - aCharacterNameOffsets
MelgenThunderMageThunderName,aCharacterNames.MelgenArmy - aCharacterNameOffsets
MelgenPriestName,aCharacterNames.MelgenArmy - aCharacterNameOffsets
MelgenBallisticianName,aCharacterNames.MelgenArmy - aCharacterNameOffsets
MelgenBowArmorName,aCharacterNames.MelgenArmy - aCharacterNameOffsets
JavarroName,aCharacterNames.Javarro - aCharacterNameOffsets
JavarroSquadFreeKnightName,aCharacterNames.MercenaryCh07 - aCharacterNameOffsets
JavarroSquadBowKnightName,aCharacterNames.MercenaryCh07 - aCharacterNameOffsets
BramselName,aCharacterNames.Bramsel - aCharacterNameOffsets
DahnaGuardMyrmidonName,aCharacterNames.DahnaArmy - aCharacterNameOffsets
UlsterUnusedCommanderGeneralName,aCharacterNames.UlsterCommander - aCharacterNameOffsets
UlsterUnusedSwordArmorName,aCharacterNames.UlsterArmy - aCharacterNameOffsets
UlsterUnusedThunderMage1Name,aCharacterNames.UlsterArmy - aCharacterNameOffsets
BanbaCh07Name,aCharacterNames.BanbaCh07 - aCharacterNameOffsets
FotlaCh07Name,aCharacterNames.FotlaCh07 - aCharacterNameOffsets
EriuCh07Name,aCharacterNames.EriuCh07 - aCharacterNameOffsets
UlsterUnusedThunderMage2Name,aCharacterNames.UlsterMage - aCharacterNameOffsets
UlsterUnusedFireMageName,aCharacterNames.UlsterMage - aCharacterNameOffsets
UlsterThunderMageName,aCharacterNames.UlsterMage - aCharacterNameOffsets
MuhammadName,aCharacterNames.Muhammad - aCharacterNameOffsets
MuhammadSquadThunderMageName,aCharacterNames.ConnachtArmy - aCharacterNameOffsets
MuhammadSquadLanceArmorName,aCharacterNames.ConnachtArmy - aCharacterNameOffsets
MuhammadSquadBowArmorName,aCharacterNames.ConnachtArmy - aCharacterNameOffsets
MuhammadSquadBishopName,aCharacterNames.MuhammadSquadBishop - aCharacterNameOffsets
OvoName,aCharacterNames.Ovo - aCharacterNameOffsets
OvoSquadLanceKnightName,aCharacterNames.ConnachtArmy - aCharacterNameOffsets
OvoSquadTroubadourName,aCharacterNames.ConnachtArmy - aCharacterNameOffsets
BrigandCh08Name,aCharacterNames.BrigandCh08 - aCharacterNameOffsets
ConnachtCommanderThunderMageBridgeName,aCharacterNames.CommanderCh08 - aCharacterNameOffsets
ConnachtThunderMageBridgeName,aCharacterNames.ConnachtArmy - aCharacterNameOffsets
IshtarCh08Name,aCharacterNames.IshtarCh08 - aCharacterNameOffsets
ConnachtCommanderGeneralBridgeName,aCharacterNames.CommanderCh08 - aCharacterNameOffsets
ConnachtLanceArmorBridgeName,aCharacterNames.ConnachtArmy - aCharacterNameOffsets
BloomCh08Name,aCharacterNames.BloomCh08 - aCharacterNameOffsets
ConnachtGuardGeneralName,aCharacterNames.ConnachtArmy - aCharacterNameOffsets
MeathCivilianMaleName,aCharacterNames.MeathCivilian - aCharacterNameOffsets
MeathCivilianFemaleName,aCharacterNames.MeathCivilian - aCharacterNameOffsets
MeathCommanderDragonknightLeonsterChargeName,aCharacterNames.CommanderCh08 - aCharacterNameOffsets
MeathDragonriderLeonsterChargeName,aCharacterNames.ThraciaArmyCh08 - aCharacterNameOffsets
CoulterName,aCharacterNames.Coulter - aCharacterNameOffsets
CoulterSquadName,aCharacterNames.ThraciaArmyCh08 - aCharacterNameOffsets
MeathCommanderDragonknightDefendName,aCharacterNames.CommanderCh08 - aCharacterNameOffsets
MeathDragonriderDefendName,aCharacterNames.ThraciaArmyCh08 - aCharacterNameOffsets
MeathCommanderIronBallisticianName,aCharacterNames.CommanderCh08 - aCharacterNameOffsets
MeathBallisticianName,aCharacterNames.ThraciaArmyCh08 - aCharacterNameOffsets
MaykovName,aCharacterNames.Maykov - aCharacterNameOffsets
BanbaCh08Name,aCharacterNames.BanbaCh08 - aCharacterNameOffsets
FotlaCh08Name,aCharacterNames.FotlaCh08 - aCharacterNameOffsets
EriuCh08Name,aCharacterNames.EriuCh08 - aCharacterNameOffsets
KapathogiaHighPriestName,aCharacterNames.KapathogiaArmy - aCharacterNameOffsets
KapathogiaLanceArmorName,aCharacterNames.KapathogiaArmy - aCharacterNameOffsets
KapathogiaBowArmorName,aCharacterNames.KapathogiaArmy - aCharacterNameOffsets
KapathogiaSwordArmorName,aCharacterNames.KapathogiaArmy - aCharacterNameOffsets
AltenaSquadCh09JavelinName,aCharacterNames.ThraciaArmyCh09 - aCharacterNameOffsets
AltenaSquadCh09SleepSwordName,aCharacterNames.ThraciaArmyCh09 - aCharacterNameOffsets
BrigandCh09Name,aCharacterNames.BrigandCh09 - aCharacterNameOffsets
KanatzName,aCharacterNames.Kanatz - aCharacterNameOffsets
DistlerName,aCharacterNames.Distler - aCharacterNameOffsets
GrutiaUnusedLanceArmorName,aCharacterNames.GrutiaArmy - aCharacterNameOffsets
LutheciaHeroName,aCharacterNames.MercenaryCh09 - aCharacterNameOffsets
LutheciaHeroFName,aCharacterNames.MercenaryCh09 - aCharacterNameOffsets
TravantCh09Name,aCharacterNames.TravantCh09 - aCharacterNameOffsets
TravantSquadCh09Name,aCharacterNames.ThraciaArmyCh09 - aCharacterNameOffsets
JudahName,aCharacterNames.Judah - aCharacterNameOffsets
GrutiaCommanderKillerBallisticianName,aCharacterNames.CommanderCh09 - aCharacterNameOffsets
