.long 0,Pointer
EventChapter01AyraStartsMoving,aEventChapter01AyraStartsMoving
EventChapter01GenoaSeizedAyraResponse,aEventChapter01GenoaSeizedAyraResponse
Event03C,aEventChapter01_03C
EventChapter01QuanDied,aEventChapter01QuanDied
EventChapter01EthlynDied,aEventChapter01EthlynDied
EventChapter01FinnDied,aEventChapter01FinnDied
EventChapter01ElliotRetreats,aEventChapter01ElliotRetreats
EventChapter01LexBraveAxe,aEventChapter01LexBraveAxe
EventChapter01CrossknightTalk,aEventChapter01CrossknightTalk
Event043,aEventChapter01_043
EventChapter02Opening,aEventChapter02Opening
EventChapter02InfiniBrigandsSpawn,aEventChapter02InfiniBrigandsSpawn
EventChapter02ElliotCharge,aEventChapter02ElliotCharge
EventChapter02PhilipDefend,aEventChapter02PhilipDefend
EventChapter02LewynSilviaSpawn,aEventChapter02LewynSilviaSpawn
EventChapter02InfiniSpawn,aEventChapter02InfiniSpawn
EventChapter02WaltzCharge,aEventChapter02WaltzCharge
EventChapter02SigurdLachesisTalk,aEventChapter02SigurdLachesisTalk
EventChapter02BeowulfTalkNoMoney,aEventChapter02BeowulfTalkNoMoney
EventChapter02BeowulfTalkSuccess,aEventChapter02BeowulfTalkSuccess
EventChapter02MackilySpawn,aEventChapter02MackilySpawn
EventChapter02ChulainnRecruitmentEvans,aEventChapter02ChulainnRecruitmentEvans
EventChapter02AgustiSpawn,aEventChapter02AgustiSpawn
EventChapter02LewynErinysTalk,aEventChapter02LewynErinysTalk
EventChapter02Ending,aEventChapter02Ending
EventChapter02Village8,aEventChapter02Village8
EventChapter02VillageBargainBand,aEventChapter02VillageBargainBand
EventChapter02VillageArmorslayer,aEventChapter02VillageArmorslayer
EventChapter02Village5,aEventChapter02Village5
EventChapter02Village2,aEventChapter02Village2
EventChapter02Village4,aEventChapter02Village4
EventChapter02Village6,aEventChapter02Village6
EventChapter02Village7,aEventChapter02Village7
Event05B,aEventChapter02_05B
Event05C,aEventChapter02_05C
EventChapter02ChulainnRecruitmentHeirhein,aEventChapter02ChulainnRecruitmentHeirhein
EventChapter02ChulainnRecruitmentInfini,aEventChapter02ChulainnRecruitmentInfini
EventChapter02ChulainnRecruitmentMackily,aEventChapter02ChulainnRecruitmentMackily
EventChapter02ChulainnRecruitmentNordion,aEventChapter02ChulainnRecruitmentNordion
EventChapter02HeirheinSeized,aEventChapter02HeirheinSeized
EventChapter02ErinysGroupArrive,aEventChapter02ErinysGroupArrive
EventChapter02InfiniSeized,aEventChapter02InfiniSeized
Event064,aEventChapter02_064
EventChapter02MackilyWorried,aEventChapter02MackilyWorried
EventChapter02Village1,aEventChapter02Village1
EventChapter02Village3,aEventChapter02Village3
EventChapter02QuanDied,aEventChapter02QuanDied
EventChapter02EthlynDied,aEventChapter02EthlynDied
EventChapter02FinnDied,aEventChapter02FinnDied
EventChapter02MackilySeized,aEventChapter02MackilySeized
Event06C,aEventChapter02_06C
Event06D,aEventChapter02_06D
Event06E,aEventChapter02_06E
Event06F,aEventChapter02_06F
EventChapter02MountainArmorTalk,aEventChapter02MountainArmorTalk
EventChapter02ArdenPursuitRing,aEventChapter02ArdenPursuitRing
EventChapter03Opening,aEventChapter03Opening
EventChapter03MadinoSeized,aEventChapter03MadinoSeized
EventChapter03SylvaleSpawn,aEventChapter03SylvaleSpawn
Event075,aEventChapter03_075
EventChapter03EldiganApproachesSigurd,aEventChapter03EldiganApproachesSigurd
EventChapter03SigurdApproachesEldigan,aEventChapter03SigurdApproachesEldigan
EventChapter03LachesisEldiganTalk,aEventChapter03LachesisEldiganTalk
Event079,aEventChapter03_079
EventChapter03EldiganDeathSigurdResponse,aEventChapter03EldiganDeathSigurdResponse
EventChapter03ThraciaSpawn,aEventChapter03ThraciaSpawn
Event07C,aEventChapter03_07C
EventChapter03TravantLeave,aEventChapter03TravantLeave
EventChapter03SylvaleSeized,aEventChapter03SylvaleSeized
EventChapter03ClaudTailtiuSpawn,aEventChapter03ClaudTailtiuSpawn
EventChapter03OrgahilSpawn,aEventChapter03OrgahilSpawn
Event081,aEventChapter03_081
EventChapter03Ending,aEventChapter03Ending
Event083,aEventChapter03_083
Event084,aEventChapter03_084
EventChapter03Village2,aEventChapter03Village2
EventChapter03VillageWingclipper,aEventChapter03VillageWingclipper
EventChapter03VillageRestore,aEventChapter03VillageRestore
EventChapter03VillageDefense,aEventChapter03VillageDefense
EventChapter03Village4,aEventChapter03Village4
EventChapter03Village3,aEventChapter03Village3
EventChapter03VillageStrength,aEventChapter03VillageStrength
EventChapter03Village1,aEventChapter03Village1
EventChapter03QuanDied,aEventChapter03QuanDied
EventChapter03EthlynDied,aEventChapter03EthlynDied
EventChapter03FinnDied,aEventChapter03FinnDied
Event090,aEventChapter03_090
Event091,aEventChapter03_091
Event092,aEventChapter03_092
EventChapter03SylvaleCommanderTalk,aEventChapter03SylvaleCommanderTalk
EventChapter03DewBragiTower,aEventChapter03DewBragiTower
Event095,aEventChapter03_095
EventChapter04Opening,aEventChapter04Opening
EventChapter04CuvuliCharge,aEventChapter04CuvuliCharge
EventChapter04DaccarAndreyPreparing,aEventChapter04DaccarAndreyPreparing
EventChapter04RaiseBridge,aEventChapter04RaiseBridge
EventChapter04LowerBridge,aEventChapter04LowerBridge
EventChapter04PamelaSpawn,aEventChapter04PamelaSpawn
EventChapter04AnnandSpawn,aEventChapter04AnnandSpawn
EventChapter04AnnandPamelaCloseByTalk,aEventChapter04AnnandPamelaCloseByTalk
Event09E,aEventChapter04_09E
EventChapter04AndreySpawn,aEventChapter04AndreySpawn
EventChapter04AnnandDeathAndreyResponse,aEventChapter04AnnandDeathAndreyResponse
EventChapter04AnnandDeathPlayerResponses,aEventChapter04AnnandDeathPlayerResponses
EventChapter04AndreyLeave,aEventChapter04AndreyLeave
EventChapter04ZaxonSpawn,aEventChapter04ZaxonSpawn
EventChapter04DonovanSpawn,aEventChapter04DonovanSpawn
EventChapter04SilesseSeized,aEventChapter04SilesseSeized
EventChapter04SilesseSeizedDaccarResponse,aEventChapter04SilesseSeizedDaccarResponse
EventChapter04LewynVisitsSilesse,aEventChapter04LewynVisitsSilesse
EventChapter04Ending,aEventChapter04Ending
EventChapter04CivilianRescuedA,aEventChapter04CivilianRescuedA
EventChapter04CivilianRescuedB,aEventChapter04CivilianRescuedB
EventChapter04Village7,aEventChapter04Village7
EventChapter04Village4,aEventChapter04Village4
EventChapter04Village5,aEventChapter04Village5
EventChapter04Village3,aEventChapter04Village3
EventChapter04Village2,aEventChapter04Village2
EventChapter04VillageSafeguardAnyone,aEventChapter04VillageSafeguardAnyone
EventChapter04Village6,aEventChapter04Village6
EventChapter04Village1,aEventChapter04Village1
EventChapter04TofaSeized,aEventChapter04TofaSeized
Event0B4,aEventChapter04_0B4
EventChapter04LamiaCharge,aEventChapter04LamiaCharge
EventChapter04VillageSafeguardSilvia,aEventChapter04VillageSafeguardSilvia
EventChapter04ErinysSilviaAdjacent,aEventChapter04ErinysSilviaAdjacent
Event0B8,aEventChapter04_0B8
Event0B9,aEventChapter04_0B9
EventChapter05Opening,aEventChapter05Opening
EventChapter05SigurdByronTalk,aEventChapter05SigurdByronTalk
EventChapter05AndreyCharge,aEventChapter05AndreyCharge
EventChapter05BelhallaConversation,aEventChapter05BelhallaConversation
EventChapter05LubeckSeized,aEventChapter05LubeckSeized
EventChapter05PhinoraSpawn,aEventChapter05PhinoraSpawn
EventChapter05LeonsterSpawn,aEventChapter05LeonsterSpawn
EventChapter05ThraciaSpawn,aEventChapter05ThraciaSpawn
EventChapter05EthlynDied,aEventChapter05EthlynDied
EventChapter05QuanAndEthlynDead,aEventChapter05QuanAndEthlynDead
EventChapter05PhinoraSeized,aEventChapter05PhinoraSeized
EventChapter05ReptorCharge,aEventChapter05ReptorCharge
EventChapter05AidaBetrayal,aEventChapter05AidaBetrayal
EventChapter05ReptorBetrayalResponse,aEventChapter05ReptorBetrayalResponse
EventChapter05Ending,aEventChapter05Ending
EventChapter05AnyoneAidaTalk,aEventChapter05AnyoneAidaTalk
Event0CA,aEventChapter05Village1
EventChapter05Village1,aEventChapter05Village1
EventChapter05Village2,aEventChapter05Village2
EventChapter05Village3,aEventChapter05Village3
EventChapter05Village4,aEventChapter05Village4
EventChapter05Village5,aEventChapter05Village5
EventChapter05Village6,aEventChapter05Village6
Event0D1,aEventChapter05VelthomerSeized
Event0D2,aEventChapter05VelthomerSeized
EventChapter05VelthomerSeized,aEventChapter05VelthomerSeized
EventChapter05Village7,aEventChapter05Village7
EventChapter05ReptorDied,aEventChapter05ReptorDied
EventChapter05ArdenOnCliff,aEventChapter05ArdenOnCliff
Event0D7,aEventChapter05_0D7
Event0D8,aEventChapter05_0D8
Event0D9,$91CE2B
Event0DA,$91D0E0
Event0DB,$91D176
Event0DC,$91D1EA
Event0DD,$91D29E
Event0DE,$91D381
Event0DF,$91D3DE
Event0E0,$91D43B
Event0E1,$91D473
Event0E2,$91D4B1
Event0E3,$91D4C6
Event0E4,$91D4F6
Event0E5,$91D504
Event0E6,$91D512
Event0E7,$91D520
Event0E8,$91D52E
Event0E9,$91D541
Event0EA,$91D54F
Event0EB,$91D54F
Event0EC,$91D54F
Event0ED,$91D54F
Event0EE,$91D54F
Event0EF,$91D551
Event0F0,$91D580
Event0F1,$91D5AF
Event0F2,$91D5C9
Event0F3,$91D5D7
Event0F4,$91D5E5
Event0F5,$91D614
Event0F6,$B287DC
Event0F7,$B28B02
Event0F8,$B28B41
Event0F9,$B28B71
Event0FA,$B28C62
Event0FB,$B28C84
Event0FC,$B28C86
Event0FD,$B28CA3
Event0FE,$B28E60
Event0FF,$B28E72
Event100,$B28EB9
Event101,$B28ECD
Event102,$B28F51
Event103,$B28F53
Event104,$B28F83
Event105,$B28F83
Event106,$B28FB5
Event107,$B2900B
Event108,$B2902B
Event109,$B2903E
Event10A,$B2904C
Event10B,$B2905A
Event10C,$B29068
Event10D,$B29076
Event10E,$B29089
Event10F,$B29089
Event110,$B29089
Event111,$B2908B
Event112,$B290A9
Event113,$B290BE
Event114,$B290D3
Event115,$B290EB
Event116,$B29110
Event117,$B2912A
Event118,$B2912A
Event119,$B2912A
Event11A,$B2912A
Event11B,$B2912A
Event11C,$B2912A
Event11D,$B2912A
Event11E,$B2912A
Event11F,$B2912A
Event120,$B2912C
Event121,$B2913A
Event122,$B29159
Event123,$B2918A
Event124,$8FB81D
Event125,$8FBA18
Event126,$8FBA2C
Event127,$8FBA40
Event128,$8FBA54
Event129,$8FBA90
Event12A,$8FBB28
Event12B,$8FBC2D
Event12C,$8FBC5A
Event12D,$8FBC5C
Event12E,$8FBE13
Event12F,$8FBE38
Event130,$8FBE4B
Event131,$8FBEB7
Event132,$8FBEE3
Event133,$8FBF41
Event134,$8FBF4F
Event135,$8FBF62
Event136,$8FBF70
Event137,$8FBF7E
Event138,$8FBF8C
Event139,$8FBF9F
Event13A,$8FC00B
Event13B,$8FC019
Event13C,$8FC027
Event13D,$8FC035
Event13E,$8FC043
Event13F,$8FC051
Event140,$8FC05F
Event141,$8FC05F
Event142,$8FC061
Event143,$8FC080
Event144,$8FC096
Event145,$8FC0A4
Event146,$8FC0D7
Event147,$8FC0F6
Event148,$B1D3D6
Event149,$B1D5F8
Event14A,$B1D60C
Event14B,$B1D62D
Event14C,$B1D648
Event14D,$B1D6F1
Event14E,$B1D721
Event14F,$B1D7A1
Event150,$B1D7BB
Event151,$B1D7DA
Event152,$B1D7F7
Event153,$B1D864
Event154,$B1D894
Event155,$B1D97E
Event156,$B1D9CD
Event157,$B1DBB1
Event158,$B1DBC2
Event159,$B1DC4C
Event15A,$B1DC7C
Event15B,$B1DC7C
Event15C,$B1DC8A
Event15D,$B1DC98
Event15E,$B1DCA6
Event15F,$B1DCB4
Event160,$B1DCC7
Event161,$B1DCEA
Event162,$B1DCEA
Event163,$B1DCEA
Event164,$B1DCEA
Event165,$B1DCEC
Event166,$B1DCFF
Event167,$B1DD2D
Event168,$B1DD61
Event169,$B1DD61
Event16A,$8D863F
Event16B,$8D880E
Event16C,$8D8826
Event16D,$8D8833
Event16E,$8D8840
Event16F,$8D884D
Event170,$8D885A
Event171,$8D8867
Event172,$8D8874
Event173,$8D88A6
Event174,$8D891C
Event175,$8D8A04
Event176,$8D8A6B
Event177,$8D8BBD
Event178,$8D8BEE
Event179,$8D8C0C
Event17A,$8D8C60
Event17B,$8D8CAB
Event17C,$8D8CEB
Event17D,$8D8D36
Event17E,$8D8D36
Event17F,$8D8D44
Event180,$8D8D52
Event181,$8D8D60
Event182,$8D8D73
Event183,$8D8D81
Event184,$8D8D8F
Event185,$8D8DA4
Event186,$8D8DA4
Event187,$8D8DA4
Event188,$8D8DA4
Event189,$8D8DA6
Event18A,$8D8DC2
Event18B,$8D8DC2
Event18C,$8D8DC2
Event18D,$8D8DC2
Event18E,$B1DD63
Event18F,$B1DF3E
Event190,$B1DF6C
Event191,$B1E0A0
Event192,$B1E0BD
Event193,$B1E1D9
Event194,$B1E2BE
Event195,$B1E2E5
Event196,$B1E46D
Event197,$B1E4EB
Event198,$B1E4ED
Event199,$B1E512
Event19A,$B1E53B
Event19B,$B1E558
Event19C,$B1E58C
Event19D,$B1E7A6
Event19E,$B1E7C0
Event19F,$B1E7DA
Event1A0,$B1E7F4
Event1A1,$B1E8D5
Event1A2,$B1E8D7
EventPrologueEthlynSigurdTalk,aEventPrologueEthlynSigurdTalk
EventPrologueAzelleSigurdTalk,aEventPrologueAzelleSigurdTalk
EventPrologueLexSigurdTalk,aEventPrologueLexSigurdTalk
Event1A6,aEventPrologueUnusedAlecEthlynTalk
EventPrologueQuanSigurdTalk,aEventPrologueQuanSigurdTalk
Event1A8,aEventPrologueUnusedMidirAzelleTalk
Event1A9,aEventPrologueUnusedNaoiseAlecTalk
EventChapter01QuanFinnTalk,aEventChapter01QuanFinnTalk
EventChapter01MidirEdainTalk,aEventChapter01MidirEdainTalk
EventChapter01SigurdEdainTalk,aEventChapter01SigurdEdainTalk
EventChapter01AzelleEdainTalk,aEventChapter01AzelleEdainTalk
EventChapter01EdainEthlynTalk,aEventChapter01EdainEthlynTalk
EventChapter01DewEdainTalk,aEventChapter01DewEdainTalk
EventChapter01AyraQuanTalk,aEventChapter01AyraQuanTalk
EventChapter02DewLachesisTalk,aEventChapter02DewLachesisTalk
EventChapter02DeirdreEthlynTalk,aEventChapter02DeirdreEthlynTalk
EventChapter02QuanFinnTalk,aEventChapter02QuanFinnTalk
EventChapter02SigurdLewynTalk,aEventChapter02SigurdLewynTalk
EventChapter02BeowulfLachesisTalk,aEventChapter02BeowulfLachesisTalk
EventChapter02AlecSilviaTalk,aEventChapter02AlecSilviaTalk
EventChapter02SilviaSigurdTalk,aEventChapter02SilviaSigurdTalk
EventChapter02ErinysSigurdTalk,aEventChapter02ErinysSigurdTalk
EventChapter03LexAyraTalk,aEventChapter03LexAyraTalk
EventChapter03ChulainnAyraTalk,aEventChapter03ChulainnAyraTalk
EventChapter03SigurdBrigidTalk,aEventChapter03SigurdBrigidTalk
EventChapter03ClaudSigurdTalk,aEventChapter03ClaudSigurdTalk
EventChapter03MidirBrigidTalk,aEventChapter03MidirBrigidTalk
EventChapter03EthlynQuanTalk,aEventChapter03EthlynQuanTalk
EventChapter03EdainBrigidTalk,aEventChapter03EdainBrigidTalk
EventChapter04SigurdClaudTalk,aEventChapter04SigurdClaudTalk
EventChapter04TailtiuAzelleTalk,aEventChapter04TailtiuAzelleTalk
EventChapter04EdainJamkeTalk,aEventChapter04EdainJamkeTalk
EventChapter04EdainMidirTalk,aEventChapter04EdainMidirTalk
EventChapter04EdainAzelleTalk,aEventChapter04EdainAzelleTalk
EventChapter04SilviaClaudTalk,aEventChapter04SilviaClaudTalk
EventChapter04LewynSigurdTalk,aEventChapter04LewynSigurdTalk
EventChapter04ErinysLewynTalk,aEventChapter04ErinysLewynTalk
EventChapter05EdainBrigidTalk,aEventChapter05EdainBrigidTalk
EventChapter05ClaudEdainTalk,aEventChapter05ClaudEdainTalk
EventChapter05DewJamkeTalk,aEventChapter05DewJamkeTalk
EventChapter05AlecNaoiseTalk,aEventChapter05AlecNaoiseTalk
EventChapter05LexAzelleTalk,aEventChapter05LexAzelleTalk
EventChapter05SigurdAyraTalk,aEventChapter05SigurdAyraTalk
Event1CE,aEventChapter05_1CE
EventChapter05TailtiuAzelleTalk,aEventChapter05TailtiuAzelleTalk
EventChapter05TailtiuClaudTalk,aEventChapter05TailtiuClaudTalk
EventChapter05TailtiuLexTalk,aEventChapter05TailtiuLexTalk
EventChapter05ErinysLewynTalk,aEventChapter05ErinysLewynTalk
EventChapter05ErinysArdenTalk,aEventChapter05ErinysArdenTalk
EventChapter05ErinysNaoiseTalk,aEventChapter05ErinysNaoiseTalk
EventChapter05SilviaClaudTalk,aEventChapter05SilviaClaudTalk
EventChapter05SilviaLewynTalk,aEventChapter05SilviaLewynTalk
EventChapter05SilviaAlecTalk,aEventChapter05SilviaAlecTalk
EventChapter05LachesisBeowulfTalk,aEventChapter05LachesisBeowulfTalk
EventChapter05LachesisNaoiseTalk,aEventChapter05LachesisNaoiseTalk
EventChapter05LachesisDewTalk,aEventChapter05LachesisDewTalk
EventChapter05AyraLexTalk,aEventChapter05AyraLexTalk
EventChapter05AyraChulainnTalk,aEventChapter05AyraChulainnTalk
EventChapter05AyraArdenTalk,aEventChapter05AyraArdenTalk
EventChapter05BrigidAlecTalk,aEventChapter05BrigidAlecTalk
EventChapter05BrigidJamkeTalk,aEventChapter05BrigidJamkeTalk
EventChapter05BrigidMidirTalk,aEventChapter05BrigidMidirTalk
Event1E1,$8FEFC6
Event1E2,$8FEFE0
Event1E3,$8FF00C
Event1E4,$8FF026
Event1E5,$8FF045
Event1E6,$8FF071
Event1E7,$8FF08B
Event1E8,$8FF0B7
Event1E9,$8FF0E3
Event1EA,$8FF12E
Event1EB,$8FF160
Event1EC,$8FF196
Event1ED,$8FF1C2
Event1EE,$8FF213
Event1EF,$8FF25E
Event1F0,$8FF28B
Event1F1,$8FF2A5
Event1F2,$8FF2BF
Event1F3,$8FF2EB
Event1F4,$8FF317
Event1F5,$8FF331
Event1F6,$8FF34B
Event1F7,$8FF377
Event1F8,$8FF3A3
Event1F9,$8FF3CF
Event1FA,$8FF3E9
Event1FB,$8FF415
Event1FC,$8FF441
Event1FD,$8FF472
Event1FE,$8FF49E
Event1FF,$8FF4E9
Event200,$8FF515
Event201,$8FF56E
Event202,$8FF59A
Event203,$8FF5C6
Event204,$8FF5E0
Event205,$8FF60C
Event206,$8FF64A
Event207,$8FF688
Event208,$8FF6E1
Event209,$8FF70D
Event20A,$8FF739
Event20B,$8FF765
Event20C,$8FF791
Event20D,$8FF7BD
Event20E,$8FF816
Event20F,$8FF861
Event210,$8FF8BA
Event211,$8FF8E6
Event212,$8FF912
Event213,$8FF93E
Event214,$8FF96A
Event215,$8FF9A7
Event216,$8FF9D3
Event217,$8FF9FF
Event218,$8FFA2B
Event219,$8FFA57
Event21A,$8FFA83
Event21B,$8FFAAF
Event21C,$8FFAEC
Event21D,$8FFB18
Event21E,$8FFB44
Event21F,$8FFB70
Event220,$8FFB9C
Event221,$8FFBCD
Event222,$8FFBFE
Event223,$8FFC2F
Event224,$8FFC5B
Event225,$8FFC87
Event226,$8FFCB3
Event227,$8FFCDF
Event228,$8FFD1C
Event229,$8FFD48
Event22A,$8FFD74
Event22B,$8FFDA0
Event22C,$8FFDCC
Event22D,$8FFDF8
Event22E,$8FEF5E
Event22F,$8FEF78
Event230,$8FEF92
Event231,$8FEFAC
